Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Koboko District,District Government,"50,000",2014/15 Approved Budget,Vote: 563,Output: Other Capital
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Koboko District,District Government,"113,410",2014/15 Approved Budget,Vote: 563,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Koboko District,District Government,"20,000",2014/15 Approved Budget,Vote: 563,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Koboko District,District Government,"77,040",2014/15 Approved Budget,Vote: 563,Output: Provision of furniture to primary schools
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Tertiary Education Services
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Koboko District,District Government,"93,860",2014/15 Approved Budget,Vote: 563,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Koboko District,District Government,"7,200",2014/15 Approved Budget,Vote: 563,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Distribution of Primary Instruction Materials
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Other Capital
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Provision of furniture to primary schools
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Donor Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Tertiary Education Services
Function: Special Needs Education,Donor Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"3,754",2014/15 Approved Budget,Vote: 563,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"25,197",2014/15 Approved Budget,Vote: 563,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"1,000",2014/15 Approved Budget,Vote: 563,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Distribution of Primary Instruction Materials
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Koboko District,District Government,"7,239",2014/15 Approved Budget,Vote: 563,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Koboko District,District Government,"455,385",2014/15 Approved Budget,Vote: 563,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Other Capital
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Provision of furniture to primary schools
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Koboko District,District Government,"822,111",2014/15 Approved Budget,Vote: 563,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"61,600",2014/15 Approved Budget,Vote: 563,Output: Tertiary Education Services
Function: Special Needs Education,Non Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"1,000",2014/15 Approved Budget,Vote: 563,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"38,735",2014/15 Approved Budget,Vote: 563,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Distribution of Primary Instruction Materials
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"5,128,522",2014/15 Approved Budget,Vote: 563,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Other Capital
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Provision of furniture to primary schools
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,"1,025,253",2014/15 Approved Budget,Vote: 563,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Tertiary Education Services
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2015/16 Proposed Budget,Vote: 563,Output: Education Management Services
